GRB,Tstart,E051,k,dk,B14,dB14,omikHz,domikHz,alpha,dalpha,chi2,dof,p-val
050315,138.141837167,1.0,1.35366,3.46887,2.67453,1.49608,1.45776,0.03728,0.00000,2.85535,6.13113,184.00000,1.00000
050318,21.5085024693,1.0,2.00000,0.05439,12.43534,0.25710,1.92804,0.03883,1.00000,0.06297,54.11291,75.00000,0.96711
050401,16.5552366419,1.0,0.89097,0.25901,12.70103,1.08674,0.69813,0.01644,1.00000,0.65637,1032.54988,318.00000,0.00000
050505,23.888527738,1.0,1.01321,0.42289,5.07765,0.36607,0.71739,0.00940,0.84308,0.65179,183.32587,190.00000,0.62254
050730,50.5409744771,1.0,1.25310,78.04094,11.53299,152.05447,0.69813,0.05101,0.19953,72.84463,140125.77169,527.00000,0.00000
050904,86.5510760604,1.0,2.00000,9.20668,4.97645,4.16612,0.69813,0.09831,1.00000,3.72533,29125.44797,206.00000,0.00000
060115,271.582510113,1.0,0.15575,0.42628,7.91374,2.17165,1.01524,0.69149,0.00000,5.15947,10.10589,20.00000,0.96621
060418,145.814479827,1.0,0.57289,0.11522,35.73054,4.77059,1.38153,0.04727,0.58494,1.13835,75.02948,104.00000,0.98558
060512,31.5237813212,1.0,0.44364,0.11113,100.00000,48.33475,1.89435,0.17784,1.00000,2.32002,53.14534,35.00000,0.02531
060522,145.867583983,1.0,0.85476,8.29960,27.80369,58.11548,1.79005,0.10396,0.00000,18.32392,1.94416,7.00000,0.96287
060604,98.6625148832,1.0,0.32796,0.22856,7.89823,0.51356,1.63258,0.14472,1.00000,1.62504,63.87835,67.00000,0.58555
060707,271.39152023,1.0,0.25936,0.60168,4.02616,0.72287,0.94230,0.31192,0.00000,6.32109,22.41489,24.00000,0.55452
060926,23.8095238095,1.0,0.69192,0.97336,32.65124,5.10735,1.84372,0.09896,1.00000,3.68185,6.01693,19.00000,0.99789
060927,4.25692226173,1.0,0.61587,1.03810,25.73872,8.42400,0.86285,0.03933,0.00000,5.07662,1.25000,14.00000,1.00000
070110,98.8451108903,1.0,0.51002,0.20189,6.95378,0.77295,1.09092,0.03299,1.00000,1.34773,843.85884,140.00000,0.00000
070518,902.705833221,1.0,0.00118,0.03578,1.88173,27.21024,0.69813,10.75909,1.00000,5.12154,11.23185,7.00000,0.12882
070802,135.575403272,1.0,0.00603,0.18387,6.48062,88.00806,0.69813,10.56706,1.00000,4.73288,13.73734,7.00000,0.05606
071020,982.29352591,1.0,1.38922,47.70262,2.62400,18.17777,0.69813,0.03689,0.36034,34.63474,622.05390,77.00000,0.00000
080411,49.2610837438,1.0,0.35001,0.02258,4.33939,0.26359,0.69813,0.00824,1.00000,0.45943,319.91857,397.00000,0.99820
080607,108.048473327,1.0,0.78781,0.14964,15.01355,1.07752,0.69813,0.01085,1.00000,0.74812,118.59799,111.00000,0.29347
080710,54.2005420054,1.0,0.58086,0.25649,21.74081,2.74764,3.16564,0.15453,1.00000,1.60277,80.33631,62.00000,0.05865
080721,31.8931561527,1.0,0.77562,0.16559,19.92710,1.78649,0.69813,0.01871,1.00000,0.75052,70309.29439,1375.00000,0.00000
080810,123.455585372,1.0,1.20936,11.38978,11.49027,21.23167,1.03626,0.09461,0.25042,12.16065,33.24956,59.00000,0.99728
080928,234.556633636,1.0,0.97500,0.79055,18.26718,1.57788,2.22821,0.12988,1.00000,1.71120,62.26401,73.00000,0.81066
081008,267.721009344,1.0,1.52991,36.48905,14.23267,66.49941,1.87549,0.05032,0.37929,20.59223,28.35347,43.00000,0.95832
090102,8.20296871164,1.0,0.49803,0.05567,15.22857,1.98856,0.69813,0.01237,1.00000,0.80022,149.51733,135.00000,0.18568
090423,67.0211958545,1.0,0.83605,0.46109,9.37352,1.15348,0.75578,0.02305,1.00000,1.29661,16.06045,38.00000,0.99932
