GRB,Tstart,E051,alphax,k,dk,B14,dB14,omikHz,domikHz,chi2,dof,p-val
050315,138.141837167,1.0,0.1,1.29060,0.44666,2.70833,0.16646,1.46124,0.02985,6.13617,185.00000,1.00000
050318,21.5085024693,1.0,0.1,2.00000,1.63904,13.95872,3.08297,1.77345,0.09685,64.63065,76.00000,0.82065
050401,16.5552366419,1.0,0.1,2.00000,1.12320,10.78762,1.35050,0.69813,0.01602,1047.75239,319.00000,0.00000
050505,23.888527738,1.0,0.1,2.00000,0.67708,4.48446,0.33792,0.71491,0.00936,183.52702,191.00000,0.63804
050730,50.5409744771,1.0,0.1,1.31093,1.61275,11.49534,4.98453,0.69813,0.05094,140139.39633,528.00000,0.00000
050904,86.5510760604,1.0,0.1,2.00000,12.19282,5.25493,4.81638,0.69813,0.13967,31330.13924,207.00000,0.00000
060115,271.582510113,1.0,0.1,0.14894,0.13060,7.87909,1.29691,1.00452,0.27941,10.12006,21.00000,0.97731
060418,145.814479827,1.0,0.1,0.62295,0.06857,37.20061,3.32686,1.36391,0.02591,75.20908,105.00000,0.98756
060512,31.5237813212,1.0,0.1,0.52383,0.12254,100.00000,31.35523,1.86994,0.10231,59.26888,36.00000,0.00862
060522,145.867583983,1.0,0.1,0.81374,0.40507,28.07944,5.92455,1.79039,0.09170,1.94660,8.00000,0.98261
060604,98.6625148832,1.0,0.1,0.47418,0.11789,7.62926,0.57588,1.68119,0.06597,64.61841,68.00000,0.59386
060707,271.39152023,1.0,0.1,0.25242,0.14079,4.02665,0.50417,0.93873,0.09601,22.47738,25.00000,0.60805
060926,23.8095238095,1.0,0.1,1.25929,0.73142,29.03465,4.79449,1.85252,0.06723,6.02922,20.00000,0.99886
060927,4.25692226173,1.0,0.1,0.59747,0.12625,25.86858,2.25684,0.86229,0.02362,1.25192,15.00000,1.00000
070110,98.8451108903,1.0,0.1,0.66331,0.12885,6.71182,0.79875,1.08494,0.03121,870.00801,141.00000,0.00000
070518,902.705833221,1.0,0.1,0.00127,0.02573,1.89894,18.07291,0.69813,7.12314,11.83750,8.00000,0.15860
070802,135.575403272,1.0,0.1,0.00643,0.17816,6.51032,78.93298,0.69813,9.52768,14.70761,8.00000,0.06509
071020,982.29352591,1.0,0.1,1.79174,2.27239,2.51113,0.79681,0.69813,0.03570,623.03381,78.00000,0.00000
080411,49.2610837438,1.0,0.1,0.40577,0.01757,4.54680,0.18555,0.69813,0.00841,325.12326,398.00000,0.99689
080607,108.048473327,1.0,0.1,1.22676,0.20302,14.09952,1.13729,0.69813,0.01106,123.89345,112.00000,0.20830
080710,54.2005420054,1.0,0.1,0.76230,0.21165,21.85445,3.13995,3.11506,0.13432,83.31745,63.00000,0.04424
080721,31.8931561527,1.0,0.1,1.30184,0.28584,17.66454,2.04148,0.69813,0.01547,72113.45173,1376.00000,0.00000
080810,123.455585372,1.0,0.1,1.36586,0.40255,11.23179,1.51158,1.03465,0.03580,33.26744,60.00000,0.99800
080928,234.556633636,1.0,0.1,2.00000,1.31295,16.43211,2.96161,2.18807,0.09574,62.97477,74.00000,0.81597
