GRB,Tstart,E051,alphax,k,dk,B14,dB14,fmHz,dfmHz,chi2,dof,p-val
050315,138.141837167,12.7612770674,0.1,1.50000,0.36416,2.63967,0.11859,4.26971,0.05887,6.18082,185.00000,1.00000
050318,21.5085024693,9.16563427325,0.1,1.50000,0.87901,15.23743,3.17313,3.61853,0.22516,67.24536,76.00000,0.75324
050401,16.5552366419,139.112246814,0.1,0.85287,0.02743,4.67134,0.16519,14.09723,0.17462,107.94553,319.00000,1.00000
050505,23.888527738,55.1555220087,0.1,1.50000,0.35588,4.79765,0.31251,8.87658,0.12272,185.34694,191.00000,0.60177
050730,50.5409744771,1558.73150889,0.1,1.50000,0.28736,1.71071,0.08791,47.18855,0.55836,3179.13719,528.00000,0.00000
050904,86.5510760604,906.399725709,0.1,0.95161,0.25158,1.17423,0.14624,35.98412,1.53008,2463.88502,207.00000,0.00000
060115,271.582510113,15.7936492106,0.1,0.47826,0.09312,6.25876,0.76317,4.74998,0.17734,10.01182,21.00000,0.97876
060418,145.814479827,13.5048047558,0.1,0.63182,0.06959,36.16610,3.14569,4.39233,0.05465,75.02199,105.00000,0.98807
060512,262.203392311,7.28098078842,0.1,0.14274,0.06451,0.00010,1269.62206,3.22512,0.12853,4.19541,16.00000,0.99852
060522,145.867583983,8.34051533645,0.1,0.83096,0.37407,27.33850,4.83868,3.45181,0.14819,1.91982,8.00000,0.98337
060604,58.0967959104,16.9081375791,0.1,0.20244,0.07313,3.00405,0.65816,4.91472,0.28012,249.87250,78.00000,0.00000
060707,271.39152023,25.4166846323,0.1,0.58931,0.09171,2.97768,0.26324,6.02574,0.21345,19.74610,25.00000,0.76001
060926,23.8095238095,7.92609019185,0.1,1.50000,0.61556,27.76438,3.21648,3.36496,0.12438,6.48158,20.00000,0.99807
060927,4.25692226173,29.9592374677,0.1,0.91223,0.13684,19.36944,1.34413,6.54209,0.20043,1.34020,15.00000,1.00000
061007,139.923790273,283.08621897,0.1,0.67814,0.02241,100.00000,38.38603,20.10992,4.90924,700.27146,720.00000,0.69396
070110,298.507462687,22.6055979578,0.1,0.78745,0.18974,5.89237,0.88291,5.68276,0.15446,857.53017,136.00000,0.00000
070518,902.705833221,0.400410539511,0.1,0.48482,0.24007,13.88212,3.27479,0.75632,0.07328,12.03506,8.00000,0.14965
070802,135.575403272,2.10675016295,0.1,0.96528,0.48853,15.80616,4.44445,1.73483,0.18751,15.13852,8.00000,0.05651
071020,3.82156527215,219.340379861,0.1,0.12724,0.01972,23.83640,5.55723,17.70151,0.69384,246.85832,192.00000,0.00462
071117,4.29000429,440.843284134,0.1,0.00100,0.13827,0.00010,372.51658,25.09534,1721.65591,11.87016,26.00000,0.99188
080411,49.2610837438,57.8916912463,0.1,0.35100,0.01549,5.38721,0.29813,9.09409,0.10140,303.99164,398.00000,0.99985
080607,108.048473327,68.9416033332,0.1,1.04478,0.11107,14.65643,0.90000,9.92411,0.12690,75.04839,112.00000,0.99714
080710,54.2005420054,2.82778181198,0.1,0.76874,0.21196,21.74838,3.06278,2.00990,0.07908,83.38660,63.00000,0.04377
080721,5.29294643879,276.209138654,0.1,0.72312,0.01251,6.93910,0.08892,19.86415,0.06592,899.48102,1381.00000,1.00000
080810,123.455585372,25.7996146615,0.1,1.36717,0.40208,11.22626,1.50453,6.07096,0.20672,33.26860,60.00000,0.99800
080928,234.556633636,6.02388711947,0.1,1.50000,0.67119,17.94475,2.95062,2.93352,0.14229,63.72325,74.00000,0.79726
081008,267.721009344,7.97994714249,0.1,1.50000,0.45185,14.57472,1.23901,3.37638,0.06011,29.21176,44.00000,0.95776
090102,8.20296871164,62.2122042673,0.1,0.49808,0.03870,19.62466,2.05875,9.42733,0.13906,104.33884,136.00000,0.97990
090423,67.0211958545,48.8882756971,0.1,1.50000,0.55877,8.33655,1.08908,8.35706,0.21350,16.97606,39.00000,0.99918
090519,124.239089912,13.1088755481,0.1,0.23130,0.38772,0.00010,46020.70734,4.32747,1.08529,1.71839,5.00000,0.88657
090529,759.787228507,18.4959836577,0.1,1.06045,0.64250,2.49679,0.35351,5.14031,0.17798,0.43001,6.00000,0.99859
090812,219.750166579,57.2932788003,0.1,0.43692,0.12657,11.45620,2.18941,9.04696,0.26831,13.16464,28.00000,0.99213
090927,1334.29437138,1.41309829449,0.1,0.73666,0.35609,15.98191,2.94808,1.42081,0.06604,21.75774,22.00000,0.47443
091020,59.8453910465,12.89234967,0.1,0.39674,0.03017,23.59263,0.95143,4.29158,0.04194,168.36493,207.00000,0.97717
051016B,112.980872958,2.55832270261,0.1,1.11566,0.13302,9.45368,0.47030,1.91174,0.03440,71.77137,64.00000,0.23598
051109A,164.042051898,56.2765157865,0.1,0.32938,0.03777,6.33922,0.61989,8.96633,0.11215,215.69860,162.00000,0.00306
060223A,6.26329308945,1117.70968956,0.1,0.00100,0.42972,0.00010,4728.93126,39.95908,8544.05820,286.54122,15.00000,0.00000
061110A,5435.35905533,0.166656560183,0.1,1.50000,2.64183,12.92120,3.33505,0.48794,0.04247,0.83678,5.00000,0.97463
070721B,192.661249056,233.656068052,0.1,1.50000,0.83140,5.36649,1.14279,18.27004,1.63217,73.29650,49.00000,0.01385
080319C,338.983050847,749.655006071,0.1,0.73915,0.12271,3.93554,0.73522,32.72515,1.18314,15.95491,34.00000,0.99638
080603B,42.951035026,26.6933710832,0.1,0.56097,0.15359,11.47617,2.01342,6.17522,0.18330,2.50284,31.00000,1.00000
