GRB,Tstart,E051,k,dk,B14,dB14,omikHz,domikHz,chi2,dof,p-val
050315,138.141837167,0.0289664472369,1.35355,0.50231,3.27156,0.21398,1.45597,0.02960,6.13113,185.00000,1.00000
050318,21.5085024693,0.0326584889627,2.00000,0.04144,17.29752,0.57468,1.75440,0.05407,65.97237,76.00000,0.78740
050401,16.5552366419,1.0051297584,1.71689,0.65000,11.62928,1.07635,0.62832,0.01191,622.10111,319.00000,0.00000
050505,23.888527738,0.141688848031,2.00000,0.26154,5.51277,0.18559,0.71041,0.00745,184.13065,191.00000,0.62610
050730,50.5409744771,5.79092472155,1.39864,1.82346,12.50152,5.43853,0.62832,0.04307,123444.84004,528.00000,0.00000
050904,86.5510760604,1.09326457124,2.00000,9.09109,5.81062,4.93446,0.62832,0.07023,27199.76170,207.00000,0.00000
060115,271.582510113,39.40860628,0.15575,0.13392,9.68020,1.52846,1.01399,0.27091,10.10589,21.00000,0.97750
060418,145.814479827,35.92697307,0.63711,0.07309,45.69624,4.23703,1.35917,0.02642,75.26643,105.00000,0.98740
060512,31.5237813212,36893.8766997,0.01576,0.14901,100.00000,203.28774,0.62832,3.31067,208.98939,36.00000,0.00000
060522,145.867583983,4.11314095982,0.85476,0.44900,34.00988,7.42000,1.78785,0.09120,1.94416,8.00000,0.98268
060604,98.6625148832,0.317218604746,0.49403,0.12465,9.26808,0.71396,1.68231,0.06465,64.66798,68.00000,0.59215
060707,271.39152023,7.31920900354,0.25936,0.14446,4.92484,0.62716,0.94114,0.09404,22.41489,25.00000,0.61169
060926,23.8095238095,0.23420874118,1.39297,0.93303,34.76537,6.22807,1.84948,0.06668,5.99899,20.00000,0.99890
060927,4.25692226173,2.02825566565,0.61587,0.13422,31.48396,2.81162,0.86179,0.02347,1.25000,15.00000,1.00000
070110,98.8451108903,1.18656624594,0.69062,0.13944,8.13734,0.98456,1.08348,0.03107,871.64995,141.00000,0.00000
070518,902.705833221,7080.97081046,0.00104,0.02641,2.10313,25.32648,0.62832,8.01240,11.87394,8.00000,0.15692
070802,135.575403272,2470.08504034,0.00525,0.18203,7.21620,112.05929,0.62832,10.74509,14.76905,8.00000,0.06379
071020,982.29352591,4.59075908426,1.62795,1.56835,2.79404,0.70706,0.62832,0.02643,396.57799,78.00000,0.00000
080411,49.2610837438,7.70325592804,0.35343,0.01574,6.81359,0.37854,0.64880,0.01043,303.71407,398.00000,0.99986
080607,108.048473327,43.0729536453,1.13051,0.14314,17.66121,1.21931,0.62832,0.00849,75.38591,112.00000,0.99687
080710,54.2005420054,0.0438053601129,0.79903,0.23545,26.50120,3.96411,3.10994,0.13558,83.47307,63.00000,0.04318
080721,31.8931561527,8.17656764959,1.48711,0.37272,18.72471,2.05450,0.62832,0.01223,55104.47874,1376.00000,0.00000
080810,123.455585372,2.05973138574,1.50927,0.54233,13.46835,1.99815,1.03274,0.03704,33.29992,60.00000,0.99797
080928,234.556633636,0.324160925016,1.99999,1.46796,20.38950,4.16593,2.16322,0.10103,63.23394,74.00000,0.80960
081008,267.721009344,0.4591921555,2.00000,0.02390,16.75264,0.27408,1.86257,0.02509,29.03807,44.00000,0.95991
090102,8.20296871164,9.54035227302,0.54160,0.04231,22.37365,2.02955,0.62832,0.01227,105.99394,136.00000,0.97334
090423,67.0211958545,1.18557968842,2.00000,0.74778,9.56272,0.99393,0.75355,0.02011,16.45343,39.00000,0.99943
090519,98.6866169737,0.392838140407,2.00000,1.41157,51.76995,9.42080,2.74485,0.17834,1.17838,6.00000,0.97794
090529,759.787228507,0.43044009776,1.08866,0.72833,3.03777,0.47917,1.21852,0.04461,0.42727,6.00000,0.99861
090812,219.750166579,170.040032053,0.43560,0.12674,14.87680,3.03016,0.63948,0.02207,13.04994,28.00000,0.99267
090927,1334.29437138,0.36052135796,0.74225,0.38302,19.59771,3.82918,4.39975,0.21814,21.65611,22.00000,0.48057
