GRB,Tstart,E051,k,dk,B14,dB14,Pms,dPms,alpha,dalpha,chi2,dof,p-val
060605,41.5679648952,0.517024268552,2.00000,0.10973,10.05571,0.03717,1.02229,0.00371,1.00000,0.05249,49.46231,73.00000,0.98429
060714,123.204363778,3.9554617839,0.32525,0.11117,9.91692,0.72217,1.01858,0.03894,1.00000,1.12356,34.93571,43.00000,0.80446
060814,265.656097409,2.56897550906,0.38147,0.07106,7.58396,0.34817,1.16046,0.02240,1.00000,0.64632,184.37183,168.00000,0.18359
060906,70.6036506359,0.114128687,1.27987,3.01319,13.01226,6.10528,2.08958,0.07319,1.00000,2.59015,27.77128,34.00000,0.76573
060908,4.89852110079,1.2378841963,0.44983,0.09567,41.67637,3.88726,1.33586,0.03454,1.00000,0.95706,19.96177,30.00000,0.91753
061121,111.080198045,1.97083265986,0.63218,0.17278,7.02212,0.42406,0.90979,0.00706,0.00000,0.76299,212.22363,253.00000,0.97065
070306,210.259399139,0.197317093099,2.00000,0.13310,2.43362,0.06838,0.97065,0.01309,1.00000,0.03281,188.84705,141.00000,0.00443
070318,3682.36914702,1.65060496082,0.16435,0.92022,7.91017,3.58249,2.70769,2.47371,0.00000,12.79859,99.31833,61.00000,0.00141
070508,45.7013061045,4.62373991039,0.72778,0.23153,12.07162,0.93872,0.74483,0.00563,0.00000,0.75431,502.34560,482.00000,0.25217
070521,47.7454661405,0.617173907594,1.34839,23.07602,9.54469,34.31473,1.04706,0.02564,0.18908,17.79611,52.01498,79.00000,0.99182
070529,57.0074947134,7.3124709957,0.25957,0.06796,25.38805,3.61324,1.16652,0.03959,1.00000,1.61715,11.17024,30.00000,0.99930
080310,350.514412425,0.684863314202,1.27056,1.44447,7.92821,1.58234,1.51491,0.02724,1.00000,1.34953,58.46115,66.00000,0.73379
080430,230.549110246,0.162099177712,0.16695,0.09908,9.64944,0.47343,2.85284,0.37981,0.00000,1.28000,114.28312,141.00000,0.95193
081029,20.6274881908,0.10837480911,2.00000,1.22563,7.56618,0.74658,1.11508,0.02633,1.00000,0.38777,92.96037,80.00000,0.15244
081221,71.9088593656,32.7871516558,0.25982,0.02983,23.83585,2.46793,0.69813,0.01048,1.00000,0.69289,324.14152,268.00000,0.01067
