GRB,Tstart,E051,k,dk,B14,dB14,Pms,dPms,alpha,dalpha,chi2,dof,p-val
060605,41.5679648952,0.517303709403,2.00000,0.16442,10.05568,0.23796,1.02229,0.01623,1.00000,0.02692,49.45993,73.00000,0.98430
060714,123.204363778,3.82769477266,0.31273,0.10282,10.24841,0.71847,1.00024,0.04307,1.00000,1.06612,33.91346,43.00000,0.83782
060814,265.656097409,2.49462222223,0.37742,0.06781,7.65902,0.34639,1.15319,0.02371,1.00000,0.61332,184.37280,168.00000,0.18357
060906,70.6036506359,0.114197851149,1.30883,2.69785,12.93401,5.04808,2.09205,0.07157,1.00000,2.32546,27.80237,34.00000,0.76441
060908,4.89852110079,1.16575322756,0.44907,0.09550,41.78519,3.89398,1.33336,0.03449,1.00000,0.95741,19.99528,30.00000,0.91666
061121,111.080198045,1.96235896826,0.62709,0.16147,7.06706,0.41903,0.90828,0.00743,0.00000,0.71550,211.31723,253.00000,0.97355
070306,210.259399139,0.197329058775,2.00000,0.07989,2.43358,0.05351,0.97065,0.01009,1.00000,0.02865,188.84747,141.00000,0.00443
070318,3682.36914702,2.3815086808,0.11373,0.46571,8.56841,6.26701,2.30940,2.70833,0.00000,7.66936,100.57935,61.00000,0.00107
070508,45.7013061045,4.6047672924,0.71307,0.19564,12.27705,0.89758,0.74292,0.00482,0.00000,0.64127,501.55554,482.00000,0.26014
070521,47.7454661405,0.618863090515,1.34829,16.11830,9.54333,23.88033,1.04718,0.02678,0.18987,12.47184,52.01520,79.00000,0.99182
070529,57.0074947134,6.84293101997,0.25341,0.06023,26.50415,3.74092,1.09545,0.04201,1.00000,1.37096,11.06288,30.00000,0.99937
080310,350.514412425,0.684364880078,1.27158,1.45541,7.92656,1.59083,1.51498,0.02720,1.00000,1.35819,58.46636,66.00000,0.73363
080430,230.549110246,0.11776653136,0.44197,0.03760,7.75051,0.30784,3.48718,0.06135,0.00000,0.52844,127.96692,141.00000,0.77678
081029,20.6274881908,0.110464966236,2.00000,2.50647,7.56611,1.47115,1.11507,0.02579,1.00000,0.78036,92.96040,80.00000,0.15244
081221,71.9088593656,21.4875909075,0.33997,0.03497,20.84933,1.51290,0.69813,0.00796,1.00000,0.52209,384.26850,268.00000,0.00000
090205,73.7821917647,0.15048908491,2.00000,77.33008,17.00771,109.20830,2.07741,0.08090,0.71326,22.36892,15.43966,30.00000,0.98701
