GRB,Tstart,E051,alphax,k,dk,B14,dB14,Pms,dPms,chi2,dof,p-val
060605,41.5679648952,0.618769360482,0.1,2.00000,0.98522,10.48360,1.06347,0.98961,0.01894,65.99404,74.00000,0.73503
060714,123.204363778,3.02465807971,0.1,0.42066,0.07632,9.72256,0.77294,1.02893,0.02859,35.43852,44.00000,0.81787
060814,265.656097409,2.13216217802,0.1,0.48345,0.05068,7.57018,0.40280,1.16505,0.02013,190.78873,169.00000,0.12027
060906,70.6036506359,0.0762369705006,0.1,2.00000,2.03166,11.73337,2.06565,2.04297,0.08174,29.48728,35.00000,0.73111
060908,4.89852110079,1.14068929253,0.1,0.52200,0.08116,42.58595,4.56135,1.33336,0.03446,21.37197,31.00000,0.90175
061121,111.080198045,2.0407860032,0.1,0.61103,0.02901,7.06843,0.15953,0.90948,0.00646,212.58774,254.00000,0.97244
070306,210.259399139,0.223754744954,0.1,2.00000,0.95826,2.48861,0.24396,0.94890,0.01596,255.93471,142.00000,0.00000
070318,3682.36914702,1.65451597574,0.1,0.16394,0.14820,7.80366,1.26010,2.72776,0.60190,99.25084,62.00000,0.00187
070508,45.7013061045,4.81891091363,0.1,0.69938,0.02900,12.17902,0.24470,0.74541,0.00449,502.91851,483.00000,0.25667
070521,47.7454661405,0.579966606718,0.1,1.43869,0.38919,9.42646,0.69604,1.04630,0.01939,52.04557,80.00000,0.99348
070529,57.0074947134,6.69046459923,0.1,0.29396,0.05421,26.49015,3.17387,1.16261,0.03661,11.61386,31.00000,0.99939
080310,350.514412425,0.472996652689,0.1,2.00000,1.15638,7.40740,0.87122,1.48383,0.02974,62.46827,67.00000,0.63409
080430,230.549110246,0.16718963117,0.1,0.16201,0.03249,9.62056,0.43666,2.83730,0.17444,114.36143,142.00000,0.95730
081029,20.6274881908,0.129010314713,0.1,2.00000,2.16166,7.55530,1.59946,1.06492,0.04005,121.64560,81.00000,0.00235
081221,71.9088593656,27.2167756144,0.1,0.31093,0.02668,24.92209,2.20336,0.69813,0.00921,348.55531,269.00000,0.00077
090205,73.7821917647,0.158745383417,0.1,2.00000,1.77589,17.04973,2.77674,2.04132,0.05954,16.30321,31.00000,0.98599
091029,153.368853235,0.927120502782,0.1,0.33845,0.05381,5.87591,0.27048,1.20585,0.04013,134.56615,130.00000,0.37404
060607A,125.639731502,1.92474312647,0.1,2.00000,8.07539,5.46638,3.88031,0.69813,0.08067,17040.59043,170.00000,0.00000
061222A,74.1861286518,0.835967437973,0.1,1.04189,0.24793,3.60920,0.32267,0.69813,0.01748,3602.09301,335.00000,0.00000
081028A,1425.06175665,1.95197603312,0.1,2.00000,1.95238,3.21800,0.66038,0.93670,0.03373,731.13546,168.00000,0.00000
090418A,45.0497528734,1.05749125918,0.1,2.00000,1.97786,6.49855,1.29254,0.69813,0.02492,66.25058,111.00000,0.99976
100219A,106.333419111,2.02989531099,0.1,2.00000,6.44736,6.13391,3.94317,0.69813,0.05922,222.52313,26.00000,0.00000
100906A,133.141934276,0.543357486995,0.1,2.00000,0.79357,10.38021,0.96203,1.33685,0.02314,239.32487,126.00000,0.00000
110213A,69.0342948155,1.00608906388,0.1,2.00000,0.49492,7.33970,0.46816,0.82905,0.01036,331.62025,227.00000,0.00001
110422A,36.1010830325,3.51967711714,0.1,0.73422,0.05570,9.97315,0.46797,0.69813,0.00583,169.69423,267.00000,1.00000
111008A,52.7943781123,1.0492420501,0.1,1.16785,0.63059,4.98001,0.92488,0.69813,0.03220,1052.40128,137.00000,0.00000
120118B,80.1997884902,0.176380743497,0.1,1.46536,1.41045,8.59055,1.23673,1.53695,0.08584,10.06611,34.00000,0.99998
120327A,52.3278865714,5.61781545947,0.1,0.93803,0.36276,12.24438,1.95734,0.69813,0.02433,129.31342,59.00000,0.00000
120404A,138.553095039,1.24222470215,0.1,2.00000,2.85778,13.05598,3.18825,1.17859,0.04963,19.06545,36.00000,0.99078
120521C,124.423369994,0.330258055661,0.1,2.00000,6.59909,11.44389,5.33240,1.57493,0.16259,0.54693,6.00000,0.99722
120811C,71.6499044374,5.78732496957,0.1,0.57593,0.20442,8.88950,1.01169,0.69813,0.02065,30.83694,46.00000,0.95787
120907A,50.7614213198,1.87881464145,0.1,0.11981,0.04775,22.26002,1.50208,1.75605,0.22499,65.98037,87.00000,0.95467
120922A,198.251345406,11.4783328599,0.1,0.16200,0.06346,9.55489,0.97312,0.93431,0.10364,14.02070,70.00000,1.00000
121128A,47.2987890136,3.29266114454,0.1,1.71037,0.51237,11.64955,1.11150,0.69813,0.01168,99.45152,90.00000,0.23254
131105A,141.544823649,1.04837197131,0.1,0.30207,0.07510,10.99151,0.61433,1.57903,0.07842,17.23445,50.00000,1.00000
131117A,78.9581853537,0.859459066353,0.1,0.88858,0.05594,14.03400,2.16348,2.45809,0.13613,0.60381,11.00000,1.00000
140206A,134.36655057,8.50561062738,0.1,0.62691,0.33115,8.79667,2.53609,0.69813,0.04558,26515.33108,442.00000,0.00000
140506A,334.016593161,6.98479467621,0.1,0.25298,0.05138,3.64806,0.27778,0.69813,0.03158,184.42257,145.00000,0.01494
140512A,205.688921295,4.94288022343,0.1,0.86652,0.11572,5.56967,0.26847,0.69813,0.00729,843.32083,363.00000,0.00000
