GRB,Tstart,E051,alphax,k,dk,B14,dB14,Pms,dPms,chi2,dof,p-val
060605,41.5679648952,0.618942889309,0.1,2.00000,0.98325,10.48341,1.06081,0.98962,0.01892,65.99630,74.00000,0.73496
060714,123.204363778,3.00310092392,0.1,0.40689,0.07486,9.96558,0.79726,1.01937,0.02986,34.79508,44.00000,0.83818
060814,265.656097409,2.1090070356,0.1,0.47946,0.05062,7.62178,0.40804,1.16163,0.02067,190.57819,169.00000,0.12240
060906,70.6036506359,0.0763987155532,0.1,2.00000,2.00178,11.73170,2.02866,2.04299,0.08128,29.49010,35.00000,0.73099
060908,4.89852110079,1.10156142045,0.1,0.52143,0.08105,42.66192,4.56897,1.33207,0.03443,21.37569,31.00000,0.90164
061121,111.080198045,2.02953666778,0.1,0.60579,0.02900,7.11864,0.16277,0.90772,0.00645,211.58652,254.00000,0.97547
070306,210.259399139,0.223771417473,0.1,2.00000,0.95786,2.48861,0.24384,0.94890,0.01595,255.93598,142.00000,0.00000
070318,3682.36914702,2.52083764072,0.1,0.10739,0.12776,8.48460,1.79697,2.27110,0.95012,100.70923,62.00000,0.00137
070508,45.7013061045,4.79129288146,0.1,0.68434,0.02898,12.40813,0.25364,0.74317,0.00459,502.12491,483.00000,0.26475
070521,47.7454661405,0.580961368818,0.1,1.43942,0.38849,9.42432,0.69322,1.04639,0.01936,52.04628,80.00000,0.99348
070529,57.0074947134,6.37998424123,0.1,0.28707,0.05074,28.02175,3.05522,1.10280,0.03865,11.40326,31.00000,0.99949
080310,350.514412425,0.473000246959,0.1,2.00000,1.15623,7.40740,0.87109,1.48383,0.02973,62.46850,67.00000,0.63408
080430,230.549110246,0.121069191235,0.1,0.43537,0.02576,7.74894,0.30706,3.49136,0.05365,129.37336,142.00000,0.76816
081029,20.6274881908,0.131052385931,0.1,2.00000,2.16158,7.55530,1.59939,1.06492,0.04005,121.64564,81.00000,0.00235
081221,71.9088593656,18.6952014718,0.1,0.39794,0.03191,21.66558,1.48903,0.69813,0.00841,412.00852,269.00000,0.00000
090205,73.7821917647,0.158877262967,0.1,2.00000,1.76272,17.04888,2.75139,2.04135,0.05932,16.30997,31.00000,0.98594
091029,153.368853235,0.925394025775,0.1,0.34206,0.05397,5.85946,0.27042,1.20832,0.03965,135.12230,130.00000,0.36136
060607A,125.639731502,1.9248270999,0.1,2.00000,8.07967,5.46662,3.88326,0.69813,0.08071,17040.64100,170.00000,0.00000
061222A,74.1861286518,0.841367841451,0.1,1.03832,0.24626,3.61367,0.32234,0.69813,0.01748,3601.20113,335.00000,0.00000
081028A,1425.06175665,1.95197632275,0.1,2.00000,1.95238,3.21800,0.66038,0.93670,0.03373,731.13543,168.00000,0.00000
090418A,45.0497528734,1.05746905472,0.1,2.00000,1.97812,6.49857,1.29277,0.69813,0.02492,66.25104,111.00000,0.99976
100219A,106.333419111,2.02986285092,0.1,2.00000,6.45056,6.13401,3.94563,0.69813,0.05924,222.52529,26.00000,0.00000
100906A,133.141934276,0.543377485737,0.1,2.00000,0.79337,10.38019,0.96173,1.33685,0.02313,239.32474,126.00000,0.00000
110213A,69.0342948155,1.00608781319,0.1,2.00000,0.49492,7.33970,0.46816,0.82905,0.01036,331.62020,227.00000,0.00001
110422A,36.1010830325,3.33458157762,0.1,0.73755,0.05609,9.95569,0.46761,0.69813,0.00589,169.86649,267.00000,1.00000
111008A,52.7943781123,1.04769537796,0.1,1.16877,0.63176,4.97849,0.92527,0.69813,0.03220,1052.43650,137.00000,0.00000
120118B,80.1997884902,0.155414586585,0.1,1.65914,1.72246,8.45261,1.27988,1.54570,0.07907,10.08375,34.00000,0.99998
120327A,52.3278865714,5.13111259165,0.1,1.00552,0.41347,11.96382,1.99175,0.69813,0.02447,130.92674,59.00000,0.00000
120404A,138.553095039,1.24221619951,0.1,2.00000,2.85825,13.05599,3.18896,1.17859,0.04964,19.06540,36.00000,0.99078
120521C,124.423369994,0.330281806332,0.1,2.00000,6.57028,11.44361,5.30312,1.57493,0.16190,0.54691,6.00000,0.99722
120811C,71.6499044374,5.26065605337,0.1,0.60592,0.22535,8.84149,1.09681,0.69813,0.02159,31.71203,46.00000,0.94610
120907A,50.7614213198,1.58492388852,0.1,0.12598,0.04491,23.35085,1.44308,1.74926,0.19376,64.83977,87.00000,0.96381
120922A,198.251345406,11.6198577286,0.1,0.14446,0.05005,10.87573,0.95279,0.84579,0.09500,13.73157,70.00000,1.00000
121128A,47.2987890136,3.26039479933,0.1,1.72456,0.52530,11.62408,1.11995,0.69813,0.01169,99.49905,90.00000,0.23153
131105A,141.544823649,1.0474370475,0.1,0.30078,0.07500,11.01691,0.61478,1.57697,0.07891,17.21120,50.00000,1.00000
131117A,78.9581853537,37.2147814778,0.1,0.01491,0.05884,28.38595,43.36385,0.69813,1.31469,0.24020,11.00000,1.00000
140206A,134.36655057,7.30852337582,0.1,0.69720,0.37089,8.37987,2.41042,0.69813,0.04528,26677.88103,442.00000,0.00000
140506A,334.016593161,6.13322415448,0.1,0.26141,0.05221,3.79157,0.28723,0.69813,0.03183,195.18776,145.00000,0.00346
140512A,205.688921295,4.7565609351,0.1,0.89330,0.12237,5.51567,0.27273,0.69813,0.00732,848.68989,363.00000,0.00000
