GRB,Tstart,E051,k,dk,B14,dB14,Pms,dPms,chi2,dof,p-val
060605,41.5679648952,0.62616407733,2.00000,0.98217,12.83361,1.29606,0.98502,0.01878,68.44104,74.00000,0.66046
060714,123.204363778,2.92785113503,0.43374,0.07964,11.84089,0.95275,1.02838,0.02828,35.47184,44.00000,0.81678
060814,265.656097409,2.07076139073,0.49875,0.05345,9.22206,0.50042,1.16409,0.02000,191.33688,169.00000,0.11485
060906,70.6036506359,0.0766852322845,2.00000,0.07774,14.26885,1.20867,2.03094,0.07028,29.87709,35.00000,0.71370
060908,4.89852110079,1.1195108436,0.53369,0.08524,52.02838,5.68165,1.33124,0.03446,21.53010,31.00000,0.89722
061121,111.080198045,1.97083248893,0.63218,0.03093,8.58955,0.19713,0.90867,0.00643,212.22362,254.00000,0.97358
070306,210.259399139,0.225919111357,2.00000,0.96420,3.03739,0.28979,0.94420,0.01678,264.45842,142.00000,0.00000
070318,3682.36914702,1.64946396079,0.16446,0.15011,9.67615,1.54787,2.70483,0.60879,99.31807,62.00000,0.00184
070508,45.7013061045,4.62373976387,0.72778,0.03135,14.76617,0.30040,0.74392,0.00447,502.34560,483.00000,0.26249
070521,47.7454661405,0.539326395945,1.55236,0.48362,11.36423,0.91272,1.04392,0.01927,52.15197,80.00000,0.99328
070529,57.0074947134,6.59304923127,0.29899,0.05581,32.47349,3.95727,1.16035,0.03632,11.65685,31.00000,0.99937
080310,350.514412425,0.478638347717,2.00000,0.13628,9.06564,0.33916,1.47578,0.02690,63.68750,67.00000,0.59217
080430,230.549110246,0.162097923468,0.16695,0.03303,11.80335,0.52793,2.84935,0.17047,114.28305,142.00000,0.95779
081029,20.6274881908,0.131000506168,2.00000,0.02630,9.22066,0.32637,1.05815,0.02764,124.37319,81.00000,0.00140
081221,71.9088593656,34.1271753339,0.26763,0.02587,35.22515,4.40196,0.70908,0.01193,343.42010,269.00000,0.00144
090205,73.7821917647,0.159812621626,2.00000,1.86277,20.81424,3.64233,2.03184,0.05786,16.54072,31.00000,0.98424
091029,153.368853235,0.887857608674,0.35088,0.05577,7.15841,0.33097,1.20779,0.03924,134.44053,130.00000,0.37693
060607A,125.639731502,2.40457203596,1.99999,7.68432,6.09123,4.13828,0.62832,0.06680,14393.36955,170.00000,0.00000
061222A,74.1861286518,1.21634121957,0.97437,0.17906,4.25778,0.30291,0.62832,0.01243,2229.25273,335.00000,0.00000
081028A,1425.06175665,1.96493433297,2.00000,0.99100,3.92053,0.56257,0.93019,0.02003,742.43009,168.00000,0.00000
090418A,45.0497528734,1.35939983895,2.00000,0.14357,7.34200,0.36343,0.62832,0.01581,36.64372,111.00000,1.00000
100219A,106.333419111,2.36494421052,2.00000,5.51565,6.55556,3.51969,0.62832,0.04389,142.72479,26.00000,0.00000
100906A,133.141934276,0.551508943105,2.00000,0.00175,12.77701,0.22161,1.33210,0.02263,245.14230,126.00000,0.00000
110213A,69.0342948155,1.02890097223,2.00000,0.53383,9.06808,0.64305,0.82634,0.01033,345.03144,227.00000,0.00000
110422A,36.1010830325,3.75585671432,0.72865,0.05755,12.39629,0.61177,0.69075,0.00597,168.76524,267.00000,1.00000
111008A,52.7943781123,1.33048821199,1.15207,0.52677,5.55519,0.86384,0.62832,0.02377,701.18318,137.00000,0.00000
120118B,80.1997884902,0.160267453025,1.61255,1.71748,10.29199,1.60519,1.53333,0.08281,10.06391,34.00000,0.99998
120327A,52.3278865714,7.28253391112,0.87892,0.24646,13.65775,1.57203,0.62832,0.01572,64.09958,59.00000,0.30238
120404A,138.553095039,1.2470072898,2.00000,2.43885,15.91307,3.20565,1.17154,0.04847,19.39355,36.00000,0.98920
120521C,124.423369994,0.331324784087,2.00000,6.93515,13.89508,6.88966,1.56484,0.16062,0.55209,6.00000,0.99715
120811C,71.6499044374,12.7290989768,0.31486,0.13308,11.34192,1.09529,0.62832,0.04041,23.36334,46.00000,0.99779
120907A,50.7614213198,1.79172216735,0.12573,0.04908,27.40881,1.85090,1.77455,0.21654,65.98989,87.00000,0.95459
120922A,198.251345406,11.0656386453,0.16774,0.06439,11.73480,1.19172,0.93662,0.09935,14.02298,70.00000,1.00000
121128A,47.2987890136,3.9319424126,1.70558,0.39136,12.61268,0.89555,0.62832,0.00760,50.98440,90.00000,0.99970
131105A,141.544823649,1.01292357556,0.31140,0.07750,13.42618,0.75501,1.58089,0.07685,17.26900,50.00000,1.00000
131117A,78.9581853537,0.848304645278,0.89920,0.05582,17.19701,2.66904,2.44772,0.13462,0.59745,11.00000,1.00000
140206A,134.36655057,10.0566882125,0.64690,0.32826,9.58349,2.60372,0.62832,0.03786,22615.33852,442.00000,0.00000
140506A,334.016593161,12.463496529,0.17541,0.04275,4.45903,0.34479,0.62832,0.04110,142.00119,145.00000,0.55492
140512A,205.688921295,7.07424484389,0.71312,0.06612,6.34066,0.20432,0.62832,0.00500,389.57666,363.00000,0.16161
