GRB,Tstart,E051,k,dk,B14,dB14,Pms,dPms,chi2,dof,p-val
060605,41.5679648952,0.626345330962,2.00000,1.05239,12.83339,1.39285,0.98503,0.01895,68.44348,74.00000,0.66039
060714,123.204363778,2.9134707759,0.41993,0.07824,12.12305,0.98505,1.01966,0.02949,34.87446,44.00000,0.83574
060814,265.656097409,2.05167499444,0.49486,0.05341,9.28045,0.50717,1.16106,0.02052,191.13964,169.00000,0.11678
060906,70.6036506359,0.0768473791224,2.00000,2.10075,14.26696,2.66105,2.03097,0.07940,29.88020,35.00000,0.71356
060908,4.89852110079,1.08673077303,0.53317,0.08513,52.10867,5.69072,1.33017,0.03443,21.53246,31.00000,0.89715
061121,111.080198045,1.96235897797,0.62709,0.03092,8.64452,0.20099,0.90716,0.00643,211.31723,254.00000,0.97624
070306,210.259399139,0.225954756946,2.00000,0.79039,3.03754,0.26527,0.94420,0.01534,264.45973,142.00000,0.00000
070318,3682.36914702,2.38174820134,0.11372,0.13132,10.48100,2.07094,2.30650,0.91134,100.57935,62.00000,0.00141
070508,45.7013061045,4.60476718497,0.71307,0.03136,15.01746,0.31173,0.74201,0.00456,501.55554,483.00000,0.27063
070521,47.7454661405,0.539939093063,1.55323,0.48293,11.36188,0.90942,1.04398,0.01924,52.15296,80.00000,0.99327
070529,57.0074947134,6.30103383816,0.29194,0.05223,34.38754,3.83462,1.10228,0.03855,11.44376,31.00000,0.99947
080310,350.514412425,0.478600007716,2.00000,0.06635,9.06544,0.28859,1.47580,0.02735,63.68773,67.00000,0.59217
080430,230.549110246,0.117767653032,0.44197,0.02599,9.48053,0.37500,3.48290,0.05313,127.96689,142.00000,0.79444
081029,20.6274881908,0.133068213728,2.00000,0.07205,9.22261,0.60646,1.05820,0.02680,124.37326,81.00000,0.00140
081221,71.9088593656,31.915184547,0.27665,0.02380,34.98269,3.45911,0.62832,0.01390,339.26293,269.00000,0.00234
090205,73.7821917647,0.159944139506,2.00000,0.83452,20.81305,2.75068,2.03186,0.05903,16.54758,31.00000,0.98419
091029,153.368853235,0.884684936315,0.35675,0.05603,7.12702,0.33064,1.21152,0.03850,135.26730,130.00000,0.35809
060607A,125.639731502,2.40164074564,2.00000,1.83263,6.08693,1.74795,0.62832,0.05262,14393.42790,170.00000,0.00000
061222A,74.1861286518,1.20853389277,0.97754,0.18020,4.25309,0.30331,0.62832,0.01244,2230.13812,335.00000,0.00000
081028A,1425.06175665,1.96512544031,2.00000,0.84498,3.92082,0.52133,0.93019,0.01955,742.43010,168.00000,0.00000
090418A,45.0497528734,1.35944412018,2.00000,0.04881,7.34265,0.33486,0.62832,0.01628,36.64542,111.00000,1.00000
100219A,106.333419111,2.36546418604,2.00000,1.24616,6.55662,0.92736,0.62832,0.04888,142.72647,26.00000,0.00000
100906A,133.141934276,0.5516382492,2.00000,0.00946,12.77784,0.32641,1.33207,0.02339,245.14255,126.00000,0.00000
110213A,69.0342948155,1.02893481689,2.00000,0.49763,9.06819,0.58967,0.82634,0.01041,345.03123,227.00000,0.00000
110422A,36.1010830325,3.58362263969,0.72826,0.05759,12.40664,0.61427,0.69016,0.00606,168.81372,267.00000,1.00000
111008A,52.7943781123,1.32136530543,1.15660,0.53174,5.54892,0.86642,0.62832,0.02378,701.33939,137.00000,0.00000
120118B,80.1997884902,0.144474485855,1.78520,2.04539,10.15750,1.65854,1.53960,0.07787,10.07436,34.00000,0.99998
120327A,52.3278865714,6.65270716153,0.94057,0.28120,13.38035,1.62154,0.62832,0.01593,65.44514,59.00000,0.26308
120404A,138.553095039,1.24689670394,2.00000,2.64502,15.91252,3.67321,1.17155,0.04585,19.39349,36.00000,0.98920
120521C,124.423369994,0.331245563635,2.00000,0.87557,13.89078,2.01610,1.56477,0.07940,0.55207,6.00000,0.99715
120811C,71.6499044374,10.3451296,0.34992,0.13513,11.62003,1.16532,0.62832,0.03703,23.45467,46.00000,0.99769
120907A,50.7614213198,1.53740431298,0.13081,0.04613,28.66475,1.77067,1.76419,0.18937,64.89993,87.00000,0.96337
120922A,198.251345406,11.2673263069,0.14928,0.05128,13.35442,1.15941,0.85071,0.09327,13.74087,70.00000,1.00000
121128A,47.2987890136,3.92813135031,1.70592,0.39405,12.61438,0.90230,0.62832,0.00760,50.98867,90.00000,0.99970
131105A,141.544823649,1.01274439744,0.31103,0.07748,13.43455,0.75523,1.58035,0.07698,17.26295,50.00000,1.00000
131117A,78.9581853537,38.3769691848,0.01449,0.05976,34.88306,55.69308,0.68672,1.35309,0.24079,11.00000,1.00000
140206A,134.36655057,8.66559338961,0.71924,0.37083,9.13487,2.49038,0.62832,0.03764,22750.99326,442.00000,0.00000
140506A,334.016593161,10.3383669508,0.18672,0.04125,4.87112,0.35700,0.62832,0.03783,154.17183,145.00000,0.28550
140512A,205.688921295,6.75085853185,0.73835,0.07066,6.29115,0.21247,0.62832,0.00510,395.13372,363.00000,0.11827
