GRB,Tstart,E051,k,dk,B14,dB14,omikHz,domikHz,chi2,dof,p-val
060605,41.5679648952,0.420335239251,2.0,0.5273,12.83382,0.95919,0.98501,0.01765,68.4397,74.0,0.66051
060714,123.204363778,8.56922512176,0.48464,0.0824,11.06407,0.84905,1.05055,0.02619,37.52767,44.0,0.74376
060814,265.656097409,5.27242023581,0.51142,0.05348,9.05146,0.48016,1.17292,0.01857,192.08173,169.0,0.10779
060906,70.6036506359,0.0447269595676,2.0,2.12762,14.26898,2.52673,2.03094,0.08633,29.87699,35.0,0.7137
060908,4.89852110079,1.2072465211,0.53441,0.08538,51.91682,5.66894,1.33272,0.03449,21.5271,31.0,0.89731
061121,111.080198045,3.66419332566,0.64172,0.03094,8.49408,0.19061,0.91123,0.00645,214.00174,254.0,0.96766
070318,3682.36914702,33.7985088369,0.53414,0.03708,6.58197,0.96875,3.45209,0.12245,92.19716,62.0,0.00769
070508,45.7013061045,9.12156866827,0.74779,0.03129,14.46988,0.28742,0.74611,0.00439,504.41636,483.0,0.24181
070521,47.7454661405,0.4217157249,1.55224,0.48387,11.36467,0.91359,1.0439,0.01928,52.15172,80.0,0.99328
070529,57.0074947134,38.7256851468,0.48998,0.06723,19.43153,2.36489,1.39729,0.07051,17.81481,31.0,0.97184
080310,350.514412425,0.395448846602,2.0,0.29478,9.06567,0.38652,1.47578,0.02748,63.68746,67.0,0.59218
080430,230.549110246,-0.0260461848845,0.11733,0.02868,12.38352,0.79338,2.55086,0.21875,125.10576,142.0,0.84262
090205,73.7821917647,0.109959651781,2.0,1.74268,20.81431,3.45717,2.03183,0.05731,16.54031,31.0,0.98424
091029,153.368853235,2.03320945394,0.41529,0.05765,6.86854,0.32404,1.24282,0.03235,142.69467,130.0,0.21068
090418A,45.0497528734,0.883624912216,2.0,1.64312,7.34292,1.24249,0.62832,0.01648,36.64597,111.0,1.0
110422A,36.1010830325,6.09784007708,0.72903,0.0575,12.38623,0.60933,0.69133,0.00588,168.71823,267.0,1.0
120118B,80.1997884902,0.0930027422779,1.59666,1.68953,10.30521,1.60044,1.53266,0.08333,10.06298,34.0,0.99998
120327A,52.3278865714,11.7445007405,0.82671,0.22,13.89167,1.52852,0.62832,0.01554,62.71971,59.0,0.34583
120404A,138.553095039,1.43356967747,1.99999,2.8459,15.91266,3.86099,1.17155,0.04995,19.39359,36.0,0.9892
120521C,124.423369994,0.245146708993,2.0,0.44711,13.89483,1.75884,1.56483,0.09188,0.55209,6.0,0.99715
120811C,71.6499044374,40.720762759,0.48303,0.12872,9.47023,0.61978,0.68121,0.01565,26.42021,46.0,0.99092
120907A,50.7614213198,7.93797435894,0.01042,0.01758,13.31332,7.9197,0.62832,0.5569,72.82472,87.0,0.86169
120922A,198.251345406,118.908303758,0.72359,0.03593,6.91423,0.62724,1.15516,0.03325,19.30334,70.0,1.0
121128A,47.2987890136,4.22072853608,1.70555,0.3911,12.6125,0.89488,0.62832,0.0076,50.98398,90.0,0.9997
131105A,141.544823649,2.77797755038,0.38544,0.07855,12.4096,0.7265,1.65958,0.0545,18.525,50.0,0.99999
131117A,78.9581853537,8544.04494585,2.0,0.0647,13.83316,0.94328,2.47353,0.26038,3.37312,11.0,0.98482
140506A,334.016593161,68.0587444362,0.11354,0.04341,2.8618,0.32997,0.62832,0.07101,107.31528,145.0,0.99181
140512A,205.688921295,13.6139453095,0.68305,0.06094,6.39379,0.19395,0.62832,0.00489,382.42079,363.0,0.2318
