GRB,Tstart,E051,k,dk,B14,dB14,fmHz,dfmHz,alpha,dalpha,chi2,dof,p-val
050603,26.1780104712,36.2221078975,1.13744,67.28076,6.04500,61.74065,7.19346,14.98459,0.16084,87.15481,43.66502,51.00000,0.75724
061201,9.00090009001,1.88769576179,0.14101,0.07229,0.00010,11543.08765,1.64217,0.09990,0.00000,0.00000,127.69373,23.00000,0.00000
090426,0.504211930898,6.15327390352,0.07646,0.10934,52.63058,20.80296,2.96486,1.21767,0.20342,3.85769,13.57219,26.00000,0.97822
090510,0.832839302397,11.252047649,1.74489,3.36444,26.23937,7.90140,4.00928,0.08050,1.00000,1.56718,76.92583,69.00000,0.23987
051221A,1290.17931779,0.434837798952,0.55363,0.32778,18.92048,1.35585,0.78816,0.02255,1.00000,1.56866,61.46039,46.00000,0.06327
060502A,158.608434483,10.6562597698,0.63193,0.06434,4.78397,0.26519,3.90170,0.08324,0.00000,0.63594,66.12645,59.00000,0.24441
060912A,81.6955253846,7.75178105225,0.01417,0.04188,0.00017,1209.44793,3.32776,4.44569,0.00664,0.00000,47.13338,32.00000,0.04125
070714B,328.623616917,14.7098545667,0.53293,0.13437,0.00010,234.70616,4.58411,1.46810,0.01426,0.00000,51.98746,19.00000,0.00007
070810A,62.9420288634,17.8153641517,0.04268,0.10087,0.00010,15109.12725,5.04485,4.30004,0.01416,0.00000,13.95240,28.00000,0.98752
100724A,275.76807014,2.30203862689,0.11351,0.12827,0.00010,34182.04917,1.81346,0.25924,0.00194,0.00000,17.47857,10.00000,0.06442
131004A,5.82411182295,1.34097179877,0.30184,0.18787,0.00010,12704.77007,1.38408,0.40113,0.94706,0.00000,58.16005,23.00000,0.00007
070809,420.826605392,0.661095170191,4.00000,1773.41202,12.91242,600.61026,0.97181,1.04685,1.00000,92.91338,16.75497,12.00000,0.15905
060614,1475.18836217,0.104776365606,3.99999,11.31927,20.23784,5.94145,0.38689,0.00437,1.00000,0.45776,219.29616,151.00000,0.00024
