GRB,Tstart,E051,alphax,k,dk,B14,dB14,fmHz,dfmHz,chi2,dof,p-val
050603,26.1780104712,36.3237848171,0.1,1.18738,0.80616,5.99872,2.78906,7.20355,2.28958,43.66516,52.00000,0.78792
061201,9.00090009001,1.88768429762,0.1,0.14103,0.07083,0.00010,11396.95443,1.64216,0.09794,127.69373,24.00000,0.00000
090426,0.504211930898,6.07432258261,0.1,0.07855,0.08982,52.54589,21.01659,2.94578,1.03113,13.57305,27.00000,0.98508
090510,0.832839302397,11.4306834891,0.1,4.00000,5.94547,24.91091,4.58173,4.04098,0.06653,90.02559,70.00000,0.05384
051221A,1290.17931779,0.433538152528,0.1,0.79877,0.25029,18.12818,1.74168,0.78698,0.02304,62.10823,47.00000,0.06888
060502A,158.608434483,10.6279293998,0.1,0.62259,0.05342,4.78676,0.26333,3.89651,0.07786,67.56960,60.00000,0.23447
060912A,81.6955253846,7.76712509368,0.1,0.01413,0.04126,0.00010,2046.39263,3.33105,4.39392,47.13338,33.00000,0.05272
070714B,328.623616917,14.7099524609,0.1,0.53293,0.13096,0.00010,228.75103,4.58413,1.43089,51.98746,20.00000,0.00011
070810A,62.9420288634,17.8152396149,0.1,0.04268,0.09905,0.00010,14887.69439,5.04483,4.22200,13.95240,29.00000,0.99162
100724A,275.76807014,2.30204027676,0.1,0.11351,0.12343,0.00010,33116.49534,1.81346,0.24912,17.47857,11.00000,0.09450
131004A,5.82411182295,1.34097450113,0.1,0.30184,0.18387,0.00010,12498.23997,1.38408,0.39260,58.16005,24.00000,0.00012
070809,420.826605392,0.774317081211,0.1,4.00000,43.45570,11.16315,8.89835,1.05174,0.20273,17.06932,13.00000,0.19615
060614,1475.18836217,0.110364149957,0.1,4.00000,5.76453,20.65627,3.37112,0.39707,0.00573,289.53021,152.00000,0.00000
