GRB,Tstart,E051,k,dk,B14,dB14,fmHz,dfmHz,chi2,dof,p-val
050603,26.1780104712,36.4417173058,1.29104,1.05256,7.20601,3.67643,7.21523,2.39344,43.66607,52.00000,0.78789
061201,9.00090009001,1.88768599666,0.14103,0.07081,0.00010,17134.01609,1.64216,0.09786,127.69373,24.00000,0.00000
090426,0.504211930898,6.0203816772,0.08037,0.09197,64.11778,26.51492,2.93267,1.01027,13.57758,27.00000,0.98505
090510,0.832839302397,11.510395731,4.00000,0.30039,30.67388,0.90611,4.05505,0.05773,93.56886,70.00000,0.03151
051221A,1290.17931779,0.434578873164,0.84093,0.28145,21.95039,2.22572,0.78793,0.02320,62.17101,47.00000,0.06817
060502A,158.608434483,10.6817356815,0.63259,0.05345,5.85012,0.31991,3.90636,0.07737,66.16453,60.00000,0.27261
060912A,81.6955253846,7.7671329733,0.01413,0.04127,0.00010,3076.94792,3.33105,4.39562,47.13338,33.00000,0.05272
070714B,328.623616917,14.7099672089,0.53293,0.13096,0.00010,343.95873,4.58413,1.43088,51.98745,20.00000,0.00011
070810A,62.9420288634,17.8152490349,0.04268,0.09896,0.00010,22359.14325,5.04483,4.21878,13.95240,29.00000,0.99162
100724A,275.76807014,2.30204232779,0.11351,0.12276,0.00010,49589.87278,1.81346,0.24790,17.47857,11.00000,0.09450
131004A,5.82411182295,1.34097561735,0.30184,0.18395,0.00010,18508.39896,1.38408,0.39276,58.16005,24.00000,0.00012
070809,420.826605392,0.789491149831,4.00000,5.05698,13.43751,3.48337,1.06200,0.08192,17.10964,13.00000,0.19434
060614,1475.18836217,0.111474195756,4.00000,2.69284,25.21449,2.31637,0.39906,0.00531,299.56468,152.00000,0.00000
