GRB,k,dk,B14,dB14,fmHz,dfmHz,E051,dE051,alpha,dalpha,chi2,dof,p-val
050603,1.13706,163.50241,6.04563,136.69757,7.19481,119.64650,2.62668,2125298.26316,0.16122,217.06419,43.66502,50.00000,0.72407
061201,0.14103,0.06880,3.08627,0.00017,0.00829,786046.34468,1.88768,0.22110,0.04275,0.00000,127.69373,22.00000,0.00000
090426,0.07764,0.13325,69.82826,119.31273,3.99506,4.34741,0.00001,29.50529,0.00000,7.73542,12.81718,25.00000,0.97866
090510,1.72554,4.26810,26.10150,10.00838,3.97543,0.13908,100.00000,1338.58023,1.00000,2.05645,75.03191,68.00000,0.26105
051221A,0.51090,0.53370,19.41189,2.41411,0.79853,0.06159,0.20061,0.61163,1.00000,2.23828,61.29472,45.00000,0.05328
060502A,0.18690,0.15646,5.77460,0.63343,4.56889,0.73689,2.34619,0.71858,0.66211,2.32612,47.51872,58.00000,0.83545
060912A,0.01413,0.04357,2.96074,0.00000,0.02048,179646.02594,7.76716,21.64863,0.08231,0.00000,47.13338,31.00000,0.03180
070714B,0.53294,0.08818,0.49890,0.00000,0.00128,0.00000,14.71084,6.69128,0.11097,0.00000,51.98745,18.00000,0.00004
070810A,0.04268,0.09860,6.73484,0.00000,0.02278,845082.01473,17.81523,29.53866,0.14821,0.00000,13.95240,27.00000,0.98172
100724A,0.11351,0.15277,0.95492,0.00005,0.02243,2015009.60032,2.30204,0.86806,0.03957,0.00000,17.47857,9.00000,0.04173
130603B,0.00100,0.04035,1.99553,0.00000,0.00211,0.00000,38.63196,1546.99949,0.09498,0.00000,312.86896,65.00000,0.00000
131004A,0.30184,0.19546,0.18484,7038170.23144,0.05858,1138859.33855,1.34097,0.80387,0.01326,0.00000,58.16005,22.00000,0.00004
070809,4.00000,1853.91157,12.90958,627.74174,0.97189,1.09467,0.00001,0.00000,1.00000,97.13310,16.75497,11.00000,0.11534
060614,3.99785,18.50012,20.24027,9.75076,0.38690,0.00439,0.20389,0.00000,0.99849,0.74007,219.31443,150.00000,0.00019
