GRB,k,dk,B14,dB14,fmHz,dfmHz,E051,dE051,chi2,dof,p-val
050603,1.29100,1.80378,7.20620,7.37659,7.21569,13.48517,0.18925,990464.47025,43.66607,51.00000,0.75720
061201,0.14103,0.06375,2.22441,0.00073,0.00945,1380614.12757,1.88769,0.20893,127.69373,23.00000,0.00000
090426,0.07764,0.07479,85.41489,38.50157,3.99996,3.43791,0.00001,15.25305,12.81718,26.00000,0.98554
090510,4.00000,0.11195,30.67272,1.39500,4.05509,0.07580,99.99312,497321.72326,93.56862,69.00000,0.02619
051221A,0.93512,0.43104,21.15309,3.12369,0.78114,0.02785,2.59304,10.62623,62.02122,46.00000,0.05751
060502A,0.23101,0.06994,7.16147,0.46995,4.42417,0.28208,2.27931,0.61000,47.58100,59.00000,0.85666
060912A,0.01413,0.03929,2.60112,0.00001,0.01166,1517121.67179,7.76715,19.49216,47.13338,32.00000,0.04125
070714B,0.53295,0.08582,0.00533,0.00000,0.00571,0.00000,14.71113,6.51296,51.98745,19.00000,0.00007
070810A,0.04268,0.06710,1.03460,0.00000,0.04651,1793799.24704,17.81525,19.25735,13.95240,28.00000,0.98752
100724A,0.11351,0.09069,0.93525,0.00079,0.01467,4106116.84452,2.30204,0.39715,17.47857,10.00000,0.06442
130603B,0.00100,0.04004,1.17754,0.00000,0.01866,0.00000,38.63200,1535.24403,312.86896,66.00000,0.00000
131004A,0.30184,0.19453,0.18666,7409511.32932,0.06553,1370998.11124,1.34098,0.79717,58.16005,23.00000,0.00007
070809,4.00000,63.65925,13.43766,14.82562,1.06199,0.30862,0.00001,0.00000,17.10964,12.00000,0.14552
060614,4.00000,5.27175,25.21085,3.64766,0.39908,0.00617,0.21421,0.00000,299.56475,151.00000,0.00000
